시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
안양남부시장,상설장,경기도 안양시 만안구 장내로 140번길 51,경기도 안양시 만안구 안양동 622-378,매일,37.3959346168,126.9249531506,175,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,031-449-7400,2024-07-22,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 안양시 만안구 냉천로 196,경기도 안양시 만안구 안양4동 676-44,매일,37.3975683910,126.9196681728,315,농산물+가공식품+가정용품+음식점,,,Y,Y,1961,031-449-6047,2024-07-22,B553077,소상공인시장진흥공단
박달시장,상설장,경기도 안양시 만안구 양화로 132-3,경기도 안양시 만안구 박달동 21-8,매일,37.4046462247,126.9096185776,126,농산물+축산물+가공식품+음식점,,,Y,Y,2005,031-0469-2660,2024-07-22,B553077,소상공인시장진흥공단
석수시장,상설장,경기도 안양시 만안구 석천로 171번길 20,경기도 안양시 만안구 석수동 287,매일,37.4128602024,126.9079975830,135,가공식품+음식점,,,Y,Y,1979,,2024-07-22,B553077,소상공인시장진흥공단
육동시장,상설장,경기도 안양시 만안구 수리산로 47번길 38,경기도 안양시 만안구 안양동 434-3,매일,37.3905846027,126.9302270013,60,농산물+축산물+의류+음식점,,,N,N,1980,031-449-1205,2024-07-22,B553077,소상공인시장진흥공단
안양중앙인정시장,상설장,경기도 안양시 만안구 냉천로185번길 8,경기도 안양시 만안구 안양동 711-280,매일,37.3964847551,126.9195691570,412,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,031-447-9961,2024-07-22,B553077,소상공인시장진흥공단
중부농수산물시장,상설장,경기도 안양시 만안구 안양로248번길23,경기도 안양시 만안구 안양동 622-337,매일,37.3959075537,126.9256147391,31,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,1982,,2024-07-22,B553077,소상공인시장진흥공단
양동쌍학시장,상설장+5일장,경기도 양평군 양동면 학둔지아래길 76 일원,경기도 양평군 양동면 쌍학리 227-3 일원,4일+9일,37.63073455,127.0229401,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1950,031-773-1722,2024-07-22,B553077,소상공인시장진흥공단
양수리전통시장(양평양수리시장),상설장+5일장,경기도 양평군 양서면 양수로 150번길 3-15 일원,경기도 양평군 양서면 양수리 1060 일원,1일+6일,37.63149631,127.022443,176,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://blog.naver.com/ysrsijang,Y,Y,1965,031-775-3110,2024-07-22,B553077,소상공인시장진흥공단
양평물맑은시장,상설장+5일장,경기도 양평군 양평읍 양평장터길 15 일원,경기도 양평군 양평읍 양근리 166-14,3일+8일,37.4909321186,127.4925619939,206,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,www.ypsijang.com,Y,Y,1970,031-771-2080,2024-07-22,B553077,소상공인시장진흥공단
용문천년시장,상설장+5일장,경기도 양평군 용문면 용문시장2길 11 일원,경기도 양평군 용문면 다문리 307-5 일원,5일+10일,37.63168475,127.0234375,153,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://ymsijang.com/,Y,Y,1982,031-771-6172,2024-07-22,B553077,소상공인시장진흥공단
여주한글시장(여주중앙로상점가),상설장+5일장,경기도 여주시 세종로14번길 24-1,경기도 여주시 하동 268-4,5일+10일,37.2975511926,127.6342892395,180,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2007,031-885-7121,2024-07-22,B553077,소상공인시장진흥공단
전곡전통시장,상설장,경기도 연천군 전곡읍 전곡로172번길 4-15,경기도 연천군 전곡읍 전곡리 479-30,매일,38.0271598722,127.0681609991,64,음식점,,,Y,Y,1963,031-032-4111,2024-07-22,B553077,소상공인시장진흥공단
오색시장,상설장+5일장,경기도 오산시 오산로 272번길 21,경기도 오산시 오산동 853-27,3일+8일,37.1513240244,127.0709410923,320,농산물+축산물+수산물+가공식품+의류+음식점,,http://5colormarket.com/,Y,Y,1914,031-376-4141,2024-07-22,B553077,소상공인시장진흥공단
죽전로데오상점가시장,상설장,경기도 용인시 수지구 용구대로 2725-1,경기도 용인시 수지구 죽전동 1003-53,매일,37.3287670676,127.1080590761,130,가공식품+의류+신발+가정용품+음식점+병원 약국,,https://jukjunRodeo.com,Y,Y,1996,,2024-07-22,B553077,소상공인시장진흥공단
용인중앙시장,상설장+5일장,경기도 용인시 처인구 금령로107번길 13,경기도 용인시 처인구 김량장동 137-1,5일+10일,37.2367144723,127.2078584925,506,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실 병원,,,Y,Y,1960,031-336-1110,2024-07-22,B553077,소상공인시장진흥공단
부곡도깨비시장,상설장,경기도 의왕시 부곡시장길 18,경기도 의왕시삼동 192-554,매일,37.3194661256,126.9507058473,128,농산물+축산물+수산물,,,Y,Y,1980,031-462-0994,2024-07-22,B553077,소상공인시장진흥공단
의정부시장,상설장,경기도 의정부시 시민로143번길 40,경기도 의정부시 의정부1동 148-5,매일,37.7394505121,127.0511829126,40,농산물+축산물+수산물+가공식품,,,Y,Y,1978,,2024-07-22,B553077,소상공인시장진흥공단
장안문거북시장,상설장,경기도 수원시 장안구 수성로382번길 24 영화동,경기도 수원시 장안구 영화동 250-1,매일,37.2931485668,127.0139655678,119,농산물+축산물+음식점,,www.gobuk.co.kr,Y,Y,2008,031-252-7800,2024-07-22,B553077,소상공인시장진흥공단
반딧불이연무시장,상설장,경기도 수원시 장안구 월드컵로428번길 10 연무동,경기도 수원시 장안구 연무동 249,매일,37.2939604474,127.0259770629,194,농산물+축산물+수산물+가공식품+의류+음식점,,www.연무시장.com,Y,Y,2011,031-308-9944,2024-07-22,B553077,소상공인시장진흥공단
조원시장,상설장,경기도 수원시 장안구 조원로89번길 8 조원동,경기도 수원시 장안구 조원동 743-7,매일,37.3007836053,127.0153385137,135,농산물+축산물+수산물+의류+음식점,,,Y,N,2008,031-244-7705,2024-07-22,B553077,소상공인시장진흥공단
북수원시장,상설장,경기도 수원시 장안구 파장로82번길 9 파장동,경기도 수원시 장안구 파장동 572-35,매일,37.3070265378,126.9921667184,150,농산물+축산물+수산물+음식점,,,N,Y,2005,031-268-7526,2024-07-22,B553077,소상공인시장진흥공단
시민상가시장,상설장,경기도 수원시 팔달구 팔달문로4번길 19 영동,경기도 수원시 팔달구 영동 10-18,매일,37.2766838799,127.0179847107,54,의류,,,Y,N,2005,031-255-6637,2024-07-22,B553077,소상공인시장진흥공단
영동시장,상설장,경기도 수원시 팔달구 수원천로255번길 6 영동,경기도 수원시 팔달구 영동 8,매일,37.2768156877,127.0186602565,285,한복 커튼 의류 잡화,,,Y,Y,2006,031-251-0171,2024-07-22,B553077,소상공인시장진흥공단
지동시장,상설장,경기도 수원시 팔달구 팔달문로 19 지동,경기도 수원시 팔달구 지동 402-2,매일,37.2778834439,127.0196280834,219,축산물+수산물+가공식품+음식점,,,Y,Y,2005,031-256-0202,2024-07-22,B553077,소상공인시장진흥공단
화서시장,상설장,경기도 수원시 팔달구 동말로 72 화서동,경기도 수원시 팔달구 화서동 97-1,매일,37.2785780425,127.0020898477,229,농산물+축산물+수산물+가공식품+의류+음식점,,https://www.instagram.com/hwaseosijang/,Y,Y,2005,031-241-4578,2024-07-22,B553077,소상공인시장진흥공단
미나리광시장,상설장,경기도 수원시 팔달구 수원천로 266-4 지동,경기도 수원시 팔달구 지동 400-12,매일,37.2772765916,127.0196390886,53,농산물+축산물+수산물+음식점,,,Y,Y,2006,031-254-7795,2024-07-22,B553077,소상공인시장진흥공단
매산시장,상설장,경기도 수원시 팔달구 권선로 477 매산로2가,경기도 수원시 팔달구 매산로2가 90,매일,37.2645714210,127.0033543656,103,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,2011,031-224-7893,2024-07-22,B553077,소상공인시장진흥공단
구천동공구상가시장,상설장,경기도 수원시 팔달구 수원천로199번길 5 구천동,경기도 수원시 팔달구 구천동 86-1,매일,37.2721224554,127.0173593406,94,기계 공구 공산품 등,,,Y,Y,2005,031-244-0980,2024-07-22,B553077,소상공인시장진흥공단
남문로데오시장,상설장,경기도 수원시 팔달구 행궁로 88 교동,경기도 수원시 팔달구 교동 3-6,매일,37.2746369742,127.0155246596,174,가공식품+의류+신발+음식점+기타소매 근린생활서비스,,,Y,Y,2005,031-258-0336,2024-07-22,B553077,소상공인시장진흥공단
못골종합시장,상설장,경기도 수원시 팔달구 수원천로254 팔달주차타워 23호(지동),경기도 수원시 팔달구 지동 415,매일,37.2761899657,127.0200060460,86,농산물+축산물+수산물+가공식품,,www.motgol.com,Y,Y,2005,031-246-5638,2024-07-22,B553077,소상공인시장진흥공단
남문패션1번가시장,상설장,경기도 수원시 팔달구 정조로758번길 24 영동,경기도 수원시 팔달구 영동 43-5,매일,37.2756260398,127.0181079237,156,의류+신발+음식점+잡화 모자 금은보석 카페,,,N,N,2005,031-255-5226,2024-07-22,B553077,소상공인시장진흥공단
역전시장,상설장,경기도 수원시 팔달구 매산로 2-10 매산로1가,경기도 수원시 팔달구 매산로1가 57-3,매일,37.2663016261,127.0023388875,300,의류+신발+음식점,,,Y,Y,2006,031-246-1005,2024-07-22,B553077,소상공인시장진흥공단
팔달문시장,상설장,경기도 수원시 팔달구 정조로770번길 17 영동,경기도 수원시 팔달구 영동 6-14,매일,37.2768561738,127.0178858656,220,의류,,,Y,Y,2005,031-251-5153,2024-07-22,B553077,소상공인시장진흥공단
도일시장,상설장+5일장,경기도 시흥시 도일로 100의 4,경기도 시흥시 거모동 1669-22,3일+8일,37.3395150043,126.7840757255,74,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1953,031-494-5515,2024-07-22,B553077,소상공인시장진흥공단
시흥삼미시장,상설장,경기도 시흥시 삼미시장2길 35,경기도 시흥시 신천동 738-4,매일,37.4404074722,126.7838200646,152,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+화장품 미용실,,,Y,Y,1987,031-311-7006,2024-07-22,B553077,소상공인시장진흥공단
정왕시장,상설장,경기도 시흥시 정왕시장길 51 52,경기도 시흥시 정왕동 1202 1203,매일,37.78145709,126.8483144,74,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스 기타소매업,,,Y,Y,2002,031-434-0111,2024-07-22,B553077,소상공인시장진흥공단
오이도전통수산시장,상설장,경기도 시흥시 오이도로 167 173,경기도 시흥시 정왕동 2003-8 2003-12,매일,37.76259592,126.7738721,74,수산물+슈퍼,,https://oidosusan.com/,Y,Y,1999,031-431-5275,2024-07-22,B553077,소상공인시장진흥공단
시화공구상가,상설장,경기도 시흥시 공단1대로 204,,매일,37.3377110741,126.7247095624,954,음식점+기타소매 근린생활서비스,,http://sh0989.co.kr/,Y,Y,1997,,2024-07-22,B553077,소상공인시장진흥공단
안산시시민시장,상설장+5일장,경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,5일+10일,37.3253721534,126.8050880685,410,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1997,031-411-1040,2024-07-22,B553077,소상공인시장진흥공단
스타프라자전통시장,상설장,경기도 안산시 상록구 화랑로 513,경기도 안산시 상록구 성포동 583,매일,37.3208160757,126.8447219230,137,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2016,031-482-5067,2024-07-22,B553077,소상공인시장진흥공단
신안코아전통시장,상설장,경기도 안산시 상록구 석호로 315,경기도 안산시 상록구 본오동 871,매일,37.2937492131,126.8659882291,166,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1996,031-406-2105,2024-07-22,B553077,소상공인시장진흥공단
신안프라자전통시장,상설장,경기도 안산시 상록구 반석로 54,,매일,37.2964746597,126.8658208724,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://shinanplaza.modoo.at,Y,Y,1992,031-406-2104,2024-07-22,B553077,소상공인시장진흥공단
월드프라자,상설장,경기도 안산시 상록구 본삼로 60,경기도 안산시 상록구 본오동 872,매일,37.3005549923,126.8664493098,223,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2017,031-407-0951,2024-07-22,B553077,소상공인시장진흥공단
현대프라자시장,상설장,경기도 성남시 분당구 돌마로 364,경기도 성남시 분당구 수내동 79-2,매일,37.3699862800,127.1236631225,95,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원 병원,,,Y,Y,1996,031-717-3044,2024-07-22,B553077,소상공인시장진흥공단
동신종합시장,상설장,경기도 성남시 분당구 수내동 돌마로 361,,매일,37.4445626,127.1579529,86,농산물+가공식품+의류+신발+가정용품+음식점+학원,,,Y,Y,1993,,2024-07-22,B553077,소상공인시장진흥공단
분당우성시장,상설장,경기도 성남시 분당구 중앙공원로40번길 42,경기도 성남시 분당구 서현동 94-3,매일,37.3781823848,127.1323818861,79,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1995,,2024-07-22,B553077,소상공인시장진흥공단
미래타운제2종합시장,상설장,경기도 성남시 분당구 불정로376번길 31,경기도 성남시 분당구 서현동 311,매일,37.3722550320,127.1388710908,64,농산물+가공식품+음식점+학원,,,Y,Y,1994,031-704-8151,2024-07-22,B553077,소상공인시장진흥공단
미래그린시장,상설장,경기도 성남시 분당구 불정로386번길 10 서현동 효자촌미래타운아파트,경기도 성남시 분당구 서현동 307,매일,37.3734164390,127.1380364227,154,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+학원,,,Y,Y,1994,,2024-07-22,B553077,소상공인시장진흥공단
범한프라자시장,상설장,경기도 성남시 분당구 불정로376번길 37 서현동,경기도 성남시 분당구 서현동 312-3,매일,37.3716294967,127.1394443553,84,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,2015,031-702-5982,2024-07-22,B553077,소상공인시장진흥공단
미금현대벤처빌시장,상설장,경기도 성남시 분당구 돌마로90번길 8,경기도 성남시 분당구 구미동 26-1,매일,37.3492844009,127.1117737938,121,의류+신발+가정용품+음식점+병원,,,Y,Y,2001,,2024-07-22,B553077,소상공인시장진흥공단
금호행복시장(금호시장),상설장,경기도 성남시 분당구 내정로 165번길 38,경기도 성남시 분당구 수내동 32,매일,37.3766608532,127.1162393442,170,농산물+축산물+가공식품+의류+신발+가정용품+음식점+학원 병원,,,Y,Y,1994,031-711-7268,2024-07-22,B553077,소상공인시장진흥공단
청구문화시장,상설장,경기도 성남시 분당구 내정로165번길 38,경기도 성남시 분당구 수내동 32,매일,37.3766608532,127.1162393442,97,가공식품+의류+신발+음식점,,,Y,Y,1992,031-711-0826,2024-07-22,B553077,소상공인시장진흥공단
현대시장(분당),상설장,경기도 성남시 중앙공원로40번길 8,경기도 성남시 서현동 94번지,매일,37.27716746,127.0186319,105,농산물+축산물+가공식품+의류+신발+음식점+학원 병원,,,Y,Y,1992,031-701-1240,2024-07-22,B553077,소상공인시장진흥공단
코코프라자시장,상설장,경기도 성남시 서현로210번길 20,경기도 성남시 서현동 248-5번지 1층,매일,37.27792304,127.019558,66,가공식품+의류+신발+가정용품+음식점+병원,,,Y,Y,1994,031-707-7315,2024-07-22,B553077,소상공인시장진흥공단
중앙공설시장,상설장,경기도 성남시 수정구 수정로 109,경기도 성남시 수정구 태평동 3681,매일,37.4413976531,127.1321169888,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,031-755-9222,2024-07-22,B553077,소상공인시장진흥공단
신흥시장,상설장,경기도 성남시 수정구 수정로214번길 6,경기도 성남시 수정구 신흥동 3436-10,매일,37.4439793493,127.1433869000,52,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1977,031-748-1656,2024-07-22,B553077,소상공인시장진흥공단
현대시장,상설장,경기도 성남시 수정구 수정북로18,경기도 성남시 수정구 태평동 3683,매일,37.4417013596,127.1319785306,46,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1974,031-753-2828,2024-07-22,B553077,소상공인시장진흥공단
하대원공설시장,상설장,경기도 성남시 마지로 118,경기도 성남시 중원구 하대원동 266의1,매일,37.27609757,127.0200101,100,농산물+축산물+수산물+가공식품,,,Y,Y,2018,031-721-5572,2024-07-22,B553077,소상공인시장진흥공단
상대원시장,상설장,경기도 성남시 중원구 희망로344번길 6,경기도 성남시 중원구 상대원동 2985-1,매일,37.4359793989,127.1587721468,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원 병원,,,Y,Y,1996,031-746-1304,2024-07-22,B553077,소상공인시장진흥공단
성남남한산성시장(은행골목시장),상설장,경기도 성남시 중원구 산성대로518번길 7,경기도 성남시 중원구 은행동 1565 1,매일,37.4569550878,127.1644336923,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+병원,,,N,N,2013,031-745-9848,2024-07-22,B553077,소상공인시장진흥공단
모란전통기름시장,상설장,경기도 성남시 중원구 둔촌대로 83번길 7,경기도 성남시 중원구 성남동 4222,매일,37.4309076894,127.1280076838,52,농산물+가공식품,,,Y,Y,2018,031-751-4214,2024-07-22,B553077,소상공인시장진흥공단
금광시장,상설장,경기도 성남시 산성대로426번길 5,경기도 성남시 중원구 금광동 4622,매일,37.4500325159,127.1599062188,20,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,1991,,2024-07-22,B553077,소상공인시장진흥공단
단대전통시장,상설장,경기도 성남시 중원구 광명로289,경기도 성남시 중원구 금광동 10,매일,37.4443403270,127.1583278453,85,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+휴대폰 매장,,,Y,Y,1993,031-749-8982,2024-07-22,B553077,소상공인시장진흥공단
모란종합시장,상설장+5일장,경기도 성남시 중원구 성남대로 1127,경기도 성남시 중원구 성남동 4182,4일+9일,37.4303396345,127.1288868671,62,농산물+가공식품+음식점,,,Y,Y,1974,031-751-4214,2024-07-22,B553077,소상공인시장진흥공단
은행시장,상설장,경기도 성남시 중원구 산성대로 526,경기도 성남시 중원구 은행2동 1553,매일,37.4575855440,127.1644852560,50,농산물+축산물+수산물+가공식품+의류+가정용품,,,Y,Y,2014,031-744-9858,2024-07-22,B553077,소상공인시장진흥공단
모란가축시장,상설장,경기도 성남시 중원구 성남대로 1127,경기도 성남시 중원구 성남동 4182,매일,37.4303396345,127.1288868671,40,축산물+가공식품+음식점,,,N,Y,2017,,2024-07-22,B553077,소상공인시장진흥공단
권선종합시장,상설장,경기도 수원시 권선구 세권로 185 권선동,경기도 수원시 권선동 1051,매일,37.00681239,127.2705388,108,농산물+축산물+가공식품+음식점,,,Y,Y,2005,031-235-0903,2024-07-22,B553077,소상공인시장진흥공단
구매탄시장,상설장,경기도 수원시 영통구 매여울로53번길 50-1 매탄동,경기도 수원시 영통구 매탄동 172-72,매일,37.2726026873,127.0419221834,118,농산물+축산물+수산물+의류+음식점,,,Y,Y,2006,031-211-3936,2024-07-22,B553077,소상공인시장진흥공단
정자시장,상설장,경기도 수원시 장안구 수성로261번길 16 정자동,경기도 수원시 장안구 정자동 73-10,매일,37.2906902748,127.0008813412,150,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,2009,031-252-0290,2024-07-22,B553077,소상공인시장진흥공단
남양주장현 전통시장,상설장+5일장,경기도 남양주시 진접읍 장현로 77의100,경기도 남양주시 장현리 380-15,2일+7일,37.5071181,126.7813206,172,농산물,,http://장현시장.kr,Y,N,1995,031-572-0026,2024-07-22,B553077,소상공인시장진흥공단
동두천제일시장,상설장,경기도 동두천시 정장로 11-12,경기도 동두천시 생연동 823,매일,37.9051739184,127.0522231728,45,음식점,,,Y,Y,2005,,2024-07-22,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 동두천시 중앙로285번길 9,경기도 동두천시 생연동 607-27,매일,37.9069022367,127.0537403695,173,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1967,031-861-6938,2024-07-22,B553077,소상공인시장진흥공단
동두천큰시장,상설장+5일장,경기도 동두천시 큰시장로 52,경기도 동두천시 생연동 698-1,5일+10일,37.9004906055,127.0520741005,104,농산물,,,Y,Y,1960,031-859-1233,2024-07-22,B553077,소상공인시장진흥공단
세아프라자상가,상설장,경기도 동두천시 큰시장로 64,,매일,37.9007190989,127.0505962752,385,의류+신발+가정용품,,,Y,Y,2008,031-862-8503,2024-07-22,B553077,소상공인시장진흥공단
조공시장,상설장,경기도 부천시 소사구 안곡로 29,경기도 부천시 소사구 괴안동 70-20,매일,37.4791778812,126.8057729465,55,농산물+축산물+가공식품+의류+음식점,,,N,N,1987,,2024-07-22,B553077,소상공인시장진흥공단
강남시장,상설장,경기도 부천시 원미구 옥산로154번길 21,경기도 부천시 원미구 도당동 276-4,매일,37.5074970940,126.7814664080,113,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,032-676-8000,2024-07-22,B553077,소상공인시장진흥공단
신흥시장,상설장,경기도 부천시 오정구 평천로 719,경기도 부천시 오정구 삼정동 314-13,매일,37.5153379743,126.7705825938,65,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://hangangcenter.modoo.at/,Y,Y,1984,032-672-0319,2024-07-22,B553077,소상공인시장진흥공단
부천상동시장,상설장,경기도 부천시 원미구 석천로60번길 51,경기도 부천시 원미구 상동 236-5,매일,37.4923570736,126.7642707885,131,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1986,032-611-3691,2024-07-22,B553077,소상공인시장진흥공단
역곡남부시장,상설장,경기도 부천시 소사구 부광로16번길 33,경기도 부천시 소사구 괴안동 107-8,매일,37.4825297756,126.8115377255,68,농산물+축산물+가공식품,,,Y,N,1983,070-7376-2804,2024-07-22,B553077,소상공인시장진흥공단
부천자유시장,상설장,경기도 부천시 소사구 자유로 33,경기도 부천시 소사구 심곡본동 543,매일,37.4841112017,126.7799422407,261,농산물+축산물+가공식품,,,Y,N,1947,032-656-1892,2024-07-22,B553077,소상공인시장진흥공단
부천한신시장,상설장,경기도 부천시 소사구 은성로68번길 46,경기도 부천시 소사구 소사본동 200-1,매일,37.4731239755,126.7980161595,95,농산물+축산물+가공식품,,,Y,Y,1986,032-341-5372,2024-07-22,B553077,소상공인시장진흥공단
소사종합시장,상설장,경기도 부천시 소사구 호현로474번길 13-2,경기도 부천시 소사구 소사본동 78-12,매일,37.4796631471,126.7939541080,48,농산물+가공식품,,,Y,Y,1980,032-343-8155,2024-07-22,B553077,소상공인시장진흥공단
청과물시장,상설장,경기도 부천시 소사구 경인로206번길 43,경기도 부천시 소사구 심곡본동 659,매일,37.4815767972,126.7779879412,16,농산물,,,N,N,1973,,2024-07-22,B553077,소상공인시장진흥공단
고리울동굴시장,상설장,경기도 부천시 오정구 고리울로64번길 36,경기도 부천시 오정구 고강동 398-5,매일,37.5255507150,126.8222699341,74,농산물+가공식품,,,N,Y,1990,032-679-9217,2024-07-22,B553077,소상공인시장진흥공단
오정시장,상설장,경기도 부천시 오정구 부천로 470번길 50,경기도 부천시 오정구 오정동 582-30,매일,37.5259740472,126.7857048463,77,농산물+축산물,,,N,N,1992,,2024-07-22,B553077,소상공인시장진흥공단
역곡상상시장,상설장,경기도 부천시 원미구 부일로749번길 31,경기도 부천시 원미구 역곡동 84-7,매일,37.4875776053,126.8118941081,99,농산물+가공식품+의류,,,Y,Y,1984,032-343-8562,2024-07-22,B553077,소상공인시장진흥공단
원미부흥시장,상설장,경기도 부천시 원미구 부천로96번길 80,경기도 부천시 원미구 원미동 119-4,매일,37.4920303783,126.7898181438,54,농산물+축산물+가공식품,,,Y,N,1980,032-667-1571,2024-07-22,B553077,소상공인시장진흥공단
원미종합시장,상설장,경기도 부천시 원미구 조종로 49번길 21-3,경기도 부천시 원미구 원미동 97-12,매일,37.4936822911,126.7901780843,42,농산물+축산물+수산물+가공식품,,,Y,N,1985,,2024-07-22,B553077,소상공인시장진흥공단
부천제일시장,상설장,경기도 부천시 오정구 원종로85번길 84,경기도 부천시 오정구 원종동 296,매일,37.5279518858,126.8097229146,164,농산물+축산물+가공식품,,,N,Y,1981,,2024-07-22,B553077,소상공인시장진흥공단
원종종합시장,상설장,경기도 부천시 오정구 삼작로 394,경기도 부천시 오정구 원종동 372-1,매일,37.5197115917,126.8055689511,51,농산물+축산물+수산물,,,Y,Y,1987,032-681-0985,2024-07-22,B553077,소상공인시장진흥공단
원종중앙시장,상설장,경기도 부천시 오정구 성오로 124번길 47,경기도 부천시 오정구 원종동 209-5,매일,37.5250650789,126.8023169032,60,농산물+축산물,,,Y,Y,1991,,2024-07-22,B553077,소상공인시장진흥공단
